"Table 2. Real Gross Domestic Product (GDP) by Metropolitan Area, 2012-2017",,,,,,,,,,,,
,Millions of chained (2009) dollars,,,,,,Percent Change,,,,,Percent Change Rank
,2012,2013,2014,2015,2016,2017*,2013,2014,2015,2016,2017*,2017*
U.S. metropolitan areas,"13,692,212","13,891,109","14,219,922","14,671,751","14,907,918","15,224,212",1.5,2.4,3.2,1.6,2.1,.......
"Abilene, TX","5,932","6,294","6,685","6,567","6,374","6,749",6.1,6.2,-1.8,-2.9,5.9,12
"Akron, OH","28,581","29,301","30,800","32,011","32,186","32,386",2.5,5.1,3.9,0.5,0.6,274
"Albany, GA","4,811","4,818","4,662","4,515","4,582","4,664",0.2,-3.3,-3.1,1.5,1.8,172
"Albany, OR","3,334","3,310","3,283","3,409","3,657","3,630",-0.7,-0.8,3.9,7.2,-0.7,342
"Albany-Schenectady-Troy, NY","43,386","43,764","44,121","45,589","46,025","46,524",0.9,0.8,3.3,1.0,1.1,241
"Albuquerque, NM","37,394","35,745","36,818","37,691","38,745","38,523",-4.4,3.0,2.4,2.8,-0.6,339
"Alexandria, LA","5,113","5,048","5,033","5,100","5,249","5,129",-1.3,-0.3,1.3,2.9,-2.3,368
"Allentown-Bethlehem-Easton, PA-NJ","32,472","33,544","36,183","37,762","37,471","38,613",3.3,7.9,4.4,-0.8,3.0,68
"Altoona, PA","4,527","4,584","4,644","4,712","4,645","4,690",1.3,1.3,1.5,-1.4,1.0,249
"Amarillo, TX","11,044","11,181","11,432","11,917","12,044","12,238",1.2,2.3,4.2,1.1,1.6,194
"Ames, IA","4,165","4,098","4,158","4,383","4,219","4,461",-1.6,1.5,5.4,-3.7,5.7,14
"Anchorage, AK","27,970","26,759","25,795","25,817","24,943","24,682",-4.3,-3.6,0.1,-3.4,-1.0,351
"Ann Arbor, MI","19,085","19,171","18,692","19,575","20,045","20,545",0.5,-2.5,4.7,2.4,2.5,114
"Anniston-Oxford-Jacksonville, AL","3,634","3,455","3,408","3,346","3,377","3,419",-4.9,-1.4,-1.8,0.9,1.2,224
"Appleton, WI","10,250","10,083","10,415","10,919","11,283","11,412",-1.6,3.3,4.8,3.3,1.1,233
"Asheville, NC","14,052","14,305","14,870","15,787","16,650","17,329",1.8,4.0,6.2,5.5,4.1,37
"Athens-Clarke County, GA","6,795","6,774","6,926","7,440","8,088","8,482",-0.3,2.2,7.4,8.7,4.9,24
"Atlanta-Sandy Springs-Roswell, GA","278,536","288,394","299,830","311,373","324,971","334,488",3.5,4.0,3.8,4.4,2.9,76
"Atlantic City-Hammonton, NJ","12,071","11,937","11,637","11,143","11,264","11,233",-1.1,-2.5,-4.2,1.1,-0.3,326
"Auburn-Opelika, AL","3,986","4,059","4,221","4,329","4,538","4,715",1.8,4.0,2.6,4.8,3.9,39
"Augusta-Richmond County, GA-SC","20,035","19,751","20,147","20,628","20,785","20,911",-1.4,2.0,2.4,0.8,0.6,275
"Austin-Round Rock, TX","98,992","104,902","110,557","119,727","126,329","135,072",6.0,5.4,8.3,5.5,6.9,9
"Bakersfield, CA","32,091","32,417","33,648","33,756","34,046","33,594",1.0,3.8,0.3,0.9,-1.3,355
"Baltimore-Columbia-Towson, MD","155,582","156,911","158,797","160,112","164,254","165,903",0.9,1.2,0.8,2.6,1.0,244
"Bangor, ME","5,153","5,086","5,079","5,128","5,203","5,252",-1.3,-0.1,1.0,1.5,0.9,251
"Barnstable Town, MA","9,751","9,349","9,338","9,597","9,730","9,837",-4.1,-0.1,2.8,1.4,1.1,239
"Baton Rouge, LA","44,410","41,526","43,001","43,577","45,225","45,015",-6.5,3.6,1.3,3.8,-0.5,337
"Battle Creek, MI","5,166","5,297","5,204","5,227","5,279","5,354",2.5,-1.8,0.4,1.0,1.4,216
"Bay City, MI","2,991","2,976","2,853","2,863","2,897","2,851",-0.5,-4.1,0.3,1.2,-1.6,360
"Beaumont-Port Arthur, TX","18,723","19,399","19,741","20,377","20,722","20,143",3.6,1.8,3.2,1.7,-2.8,374
"Beckley, WV","4,022","3,920","3,869","3,729","3,611","3,957",-2.5,-1.3,-3.6,-3.2,9.6,4
"Bellingham, WA","8,068","8,477","8,002","8,522","8,898","9,276",5.1,-5.6,6.5,4.4,4.2,33
"Bend-Redmond, OR","6,190","6,504","7,000","7,580","8,420","8,780",5.1,7.6,8.3,11.1,4.3,32
"Billings, MT","7,672","7,875","8,739","9,062","8,780","8,563",2.6,11.0,3.7,-3.1,-2.5,371
"Binghamton, NY","8,736","8,654","8,461","8,413","8,445","8,524",-0.9,-2.2,-0.6,0.4,0.9,253
"Birmingham-Hoover, AL","54,518","53,892","53,797","54,905","55,170","55,927",-1.1,-0.2,2.1,0.5,1.4,221
"Bismarck, ND","5,949","6,218","6,840","7,243","7,019","6,921",4.5,10.0,5.9,-3.1,-1.4,356
"Blacksburg-Christiansburg-Radford, VA","5,986","5,926","6,062","6,143","6,099","6,134",-1.0,2.3,1.3,-0.7,0.6,279
"Bloomington, IL","10,179","10,480","10,751","10,909","11,129","10,924",3.0,2.6,1.5,2.0,-1.8,363
"Bloomington, IN","6,066","5,763","5,818","5,883","6,068","6,355",-5.0,0.9,1.1,3.1,4.7,26
"Bloomsburg-Berwick, PA","3,285","3,399","3,333","3,510","3,515","3,566",3.5,-1.9,5.3,0.1,1.4,213
"Boise City, ID","24,920","26,060","26,864","27,290","28,325","29,425",4.6,3.1,1.6,3.8,3.9,40
"Boston-Cambridge-Newton, MA-NH","340,681","342,477","349,951","365,302","369,243","379,499",0.5,2.2,4.4,1.1,2.8,89
"Boulder, CO","19,983","19,937","20,915","21,600","21,928","22,601",-0.2,4.9,3.3,1.5,3.1,67
"Bowling Green, KY","5,670","5,878","5,923","6,022","6,179","6,283",3.7,0.8,1.7,2.6,1.7,183
"Bremerton-Silverdale, WA","9,003","8,842","9,153","9,265","9,678","9,867",-1.8,3.5,1.2,4.4,2.0,159
"Bridgeport-Stamford-Norwalk, CT","85,569","85,474","86,002","84,675","85,252","82,721",-0.1,0.6,-1.5,0.7,-3.0,375
"Brownsville-Harlingen, TX","8,657","8,711","8,795","8,808","8,845","8,777",0.6,1.0,0.1,0.4,-0.8,343
"Brunswick, GA","3,272","3,260","3,238","3,348","3,399","3,422",-0.4,-0.7,3.4,1.5,0.7,267
"Buffalo-Cheektowaga-Niagara Falls, NY","48,901","48,710","49,378","50,137","50,834","50,980",-0.4,1.4,1.5,1.4,0.3,302
"Burlington, NC","4,722","4,616","4,506","4,446","4,611","4,723",-2.2,-2.4,-1.3,3.7,2.4,122
"Burlington-South Burlington, VT","11,724","11,639","11,752","11,894","12,214","12,368",-0.7,1.0,1.2,2.7,1.3,223
"California-Lexington Park, MD","5,424","5,442","5,444","5,514","5,587","5,585",0.3,0.0,1.3,1.3,0.0,317
"Canton-Massillon, OH","13,888","14,904","15,452","15,340","14,679","14,901",7.3,3.7,-0.7,-4.3,1.5,200
"Cape Coral-Fort Myers, FL","20,398","20,566","21,725","23,180","23,866","24,234",0.8,5.6,6.7,3.0,1.5,198
"Cape Girardeau, MO-IL","3,557","3,628","3,672","3,744","3,775","3,736",2.0,1.2,2.0,0.8,-1.0,352
"Carbondale-Marion, IL","4,677","4,460","4,440","4,464","4,505","4,584",-4.7,-0.4,0.5,0.9,1.8,176
"Carson City, NV","3,243","2,997","3,007","2,696","2,851","3,020",-7.6,0.3,-10.4,5.8,5.9,11
"Casper, WY","5,821","5,816","6,155","5,807","5,097","5,426",-0.1,5.8,-5.6,-12.2,6.5,10
"Cedar Rapids, IA","15,666","15,582","15,835","16,559","16,816","16,448",-0.5,1.6,4.6,1.6,-2.2,367
"Chambersburg-Waynesboro, PA","4,355","4,596","4,673","4,674","4,687","4,805",5.6,1.7,0.0,0.3,2.5,112
"Champaign-Urbana, IL","10,308","10,233","10,273","10,369","10,474","10,500",-0.7,0.4,0.9,1.0,0.2,305
"Charleston, WV","12,683","12,112","11,284","11,511","11,050","11,143",-4.5,-6.8,2.0,-4.0,0.8,257
"Charleston-North Charleston, SC","30,116","30,668","31,809","32,988","34,609","36,074",1.8,3.7,3.7,4.9,4.2,34
"Charlotte-Concord-Gastonia, NC-SC","125,472","126,707","129,875","136,631","141,622","146,630",1.0,2.5,5.2,3.7,3.5,49
"Charlottesville, VA","10,451","10,398","10,786","11,190","11,247","11,510",-0.5,3.7,3.8,0.5,2.3,138
"Chattanooga, TN-GA","21,896","21,735","21,661","22,282","22,736","23,425",-0.7,-0.3,2.9,2.0,3.0,70
"Cheyenne, WY","4,755","4,862","4,737","4,862","4,858","4,820",2.3,-2.6,2.6,-0.1,-0.8,345
"Chicago-Naperville-Elgin, IL-IN-WI","545,392","543,675","552,838","566,619","574,603","583,137",-0.3,1.7,2.5,1.4,1.5,207
"Chico, CA","6,085","6,449","6,335","6,680","6,880","6,996",6.0,-1.8,5.5,3.0,1.7,184
"Cincinnati, OH-KY-IN","109,422","112,256","112,812","113,921","116,421","119,223",2.6,0.5,1.0,2.2,2.4,124
"Clarksville, TN-KY","10,047","9,791","9,647","9,637","9,455","9,623",-2.6,-1.5,-0.1,-1.9,1.8,174
"Cleveland, TN","3,629","3,622","3,740","3,803","3,715","3,752",-0.2,3.3,1.7,-2.3,1.0,246
"Cleveland-Elyria, OH","108,458","109,952","112,794","116,058","117,042","120,380",1.4,2.6,2.9,0.8,2.9,85
"Coeur d'Alene, ID","4,434","4,550","4,612","4,854","4,982","5,128",2.6,1.4,5.3,2.6,2.9,73
"College Station-Bryan, TX","7,782","8,061","8,440","8,813","8,745","8,972",3.6,4.7,4.4,-0.8,2.6,107
"Colorado Springs, CO","27,323","27,288","26,776","27,430","27,952","28,886",-0.1,-1.9,2.4,1.9,3.3,58
"Columbia, MO","7,218","7,570","7,606","7,698","7,844","7,963",4.9,0.5,1.2,1.9,1.5,201
"Columbia, SC","31,808","32,535","33,714","35,110","35,572","35,421",2.3,3.6,4.1,1.3,-0.4,336
"Columbus, GA-AL","12,352","12,415","12,225","12,114","11,527","11,596",0.5,-1.5,-0.9,-4.8,0.6,277
"Columbus, IN","4,826","4,908","5,019","5,071","5,058","5,236",1.7,2.3,1.0,-0.3,3.5,51
"Columbus, OH","104,139","105,826","108,340","112,382","114,861","117,250",1.6,2.4,3.7,2.2,2.1,150
"Corpus Christi, TX","18,850","20,725","20,555","20,086","19,518","18,738",9.9,-0.8,-2.3,-2.8,-4.0,377
"Corvallis, OR","4,817","4,368","4,250","4,136","4,261","4,375",-9.3,-2.7,-2.7,3.0,2.7,101
"Crestview-Fort Walton Beach-Destin, FL","11,489","10,652","11,364","11,914","12,103","12,525",-7.3,6.7,4.8,1.6,3.5,53
"Cumberland, MD-WV","2,853","2,802","2,783","2,772","2,789","2,824",-1.8,-0.7,-0.4,0.6,1.2,226
"Dallas-Fort Worth-Arlington, TX","391,231","412,264","431,147","454,716","461,752","479,678",5.4,4.6,5.5,1.5,3.9,41
"Dalton, GA","5,004","5,154","5,457","5,581","5,845","5,870",3.0,5.9,2.3,4.7,0.4,293
"Danville, IL","2,600","2,602","2,548","2,504","2,544","2,501",0.1,-2.1,-1.7,1.6,-1.7,362
"Daphne-Fairhope-Foley, AL","5,516","6,050","6,177","5,957","6,154","6,302",9.7,2.1,-3.6,3.3,2.4,125
"Davenport-Moline-Rock Island, IA-IL","18,666","17,806","17,505","17,178","16,999","17,440",-4.6,-1.7,-1.9,-1.0,2.6,108
"Dayton, OH","34,375","34,554","35,106","35,027","35,169","35,397",0.5,1.6,-0.2,0.4,0.6,271
"Decatur, AL","4,922","4,928","4,926","4,548","4,661","4,654",0.1,0.0,-7.7,2.5,-0.2,320
"Decatur, IL","5,589","5,454","5,595","5,487","5,356","5,315",-2.4,2.6,-1.9,-2.4,-0.8,344
"Deltona-Daytona Beach-Ormond Beach, FL","13,572","14,197","14,175","14,511","14,785","14,888",4.6,-0.2,2.4,1.9,0.7,268
"Denver-Aurora-Lakewood, CO","157,916","159,968","169,525","177,321","179,516","185,942",1.3,6.0,4.6,1.2,3.6,47
"Des Moines-West Des Moines, IA","39,381","39,353","41,308","45,262","47,654","49,031",-0.1,5.0,9.6,5.3,2.9,80
"Detroit-Warren-Dearborn, MI","208,204","209,372","213,422","218,528","222,087","228,069",0.6,1.9,2.4,1.6,2.7,97
"Dothan, AL","4,523","4,504","4,479","4,471","4,569","4,635",-0.4,-0.6,-0.2,2.2,1.5,211
"Dover, DE","5,755","5,829","6,009","6,122","6,215","6,264",1.3,3.1,1.9,1.5,0.8,259
"Dubuque, IA","5,012","4,660","4,845","5,059","5,156","5,304",-7.0,4.0,4.4,1.9,2.9,81
"Duluth, MN-WI","11,270","11,561","11,794","10,552","11,485","11,564",2.6,2.0,-10.5,8.8,0.7,269
"Durham-Chapel Hill, NC","35,905","38,852","39,357","38,682","37,288","37,278",8.2,1.3,-1.7,-3.6,0.0,315
"East Stroudsburg, PA","5,131","5,139","4,986","5,078","5,172","5,311",0.1,-3.0,1.8,1.9,2.7,100
"Eau Claire, WI","6,822","6,745","6,972","7,297","7,270","7,486",-1.1,3.4,4.7,-0.4,3.0,72
"El Centro, CA","4,945","4,984","4,779","5,123","5,190","5,137",0.8,-4.1,7.2,1.3,-1.0,350
"Elizabethtown-Fort Knox, KY","5,751","5,608","5,543","5,247","5,317","5,444",-2.5,-1.2,-5.3,1.3,2.4,129
"Elkhart-Goshen, IN","10,764","11,423","12,291","12,900","13,656","15,200",6.1,7.6,5.0,5.9,11.3,2
"Elmira, NY","3,206","3,141","3,099","3,036","2,922","2,913",-2.0,-1.4,-2.0,-3.8,-0.3,327
"El Paso, TX","24,892","24,746","24,405","24,972","25,245","25,332",-0.6,-1.4,2.3,1.1,0.3,298
"Enid, OK","2,755","2,924","3,098","3,450","3,239","2,986",6.1,6.0,11.4,-6.1,-7.8,383
"Erie, PA","9,974","10,160","9,970","9,973","9,758","9,678",1.9,-1.9,0.0,-2.2,-0.8,346
"Eugene, OR","12,387","12,459","12,486","13,150","13,375","13,643",0.6,0.2,5.3,1.7,2.0,154
"Evansville, IN-KY","15,706","15,445","15,081","14,941","15,177","15,326",-1.7,-2.4,-0.9,1.6,1.0,248
"Fairbanks, AK","5,064","4,729","4,786","4,712","4,780","4,736",-6.6,1.2,-1.5,1.4,-0.9,348
"Fargo, ND-MN","12,062","12,343","13,096","13,331","13,770","14,015",2.3,6.1,1.8,3.3,1.8,173
"Farmington, NM","6,417","6,117","6,341","6,361","5,961","6,134",-4.7,3.7,0.3,-6.3,2.9,79
"Fayetteville, NC","16,400","16,019","15,490","15,232","15,028","14,992",-2.3,-3.3,-1.7,-1.3,-0.2,325
"Fayetteville-Springdale-Rogers, AR-MO","19,909","21,184","22,192","23,214","24,507","25,341",6.4,4.8,4.6,5.6,3.4,57
"Flagstaff, AZ","4,787","4,868","4,856","4,951","4,958","5,017",1.7,-0.3,2.0,0.1,1.2,231
"Flint, MI","11,695","11,752","11,691","11,935","11,909","11,955",0.5,-0.5,2.1,-0.2,0.4,294
"Florence, SC","6,909","7,203","7,207","7,316","7,309","7,432",4.3,0.1,1.5,-0.1,1.7,182
"Florence-Muscle Shoals, AL","4,242","4,177","4,236","4,276","4,322","4,346",-1.5,1.4,0.9,1.1,0.6,281
"Fond du Lac, WI","3,875","3,920","4,069","4,180","4,270","4,388",1.2,3.8,2.7,2.1,2.8,91
"Fort Collins, CO","12,535","13,361","13,284","13,671","14,254","15,073",6.6,-0.6,2.9,4.3,5.7,13
"Fort Smith, AR-OK","9,385","9,418","9,493","9,069","8,896","8,914",0.4,0.8,-4.5,-1.9,0.2,308
"Fort Wayne, IN","17,904","17,839","18,197","18,851","19,387","19,786",-0.4,2.0,3.6,2.8,2.1,152
"Fresno, CA","31,121","32,464","33,165","34,788","35,602","35,866",4.3,2.2,4.9,2.3,0.7,263
"Gadsden, AL","2,581","2,492","2,505","2,554","2,580","2,606",-3.5,0.5,2.0,1.0,1.0,243
"Gainesville, FL","10,428","10,978","10,621","10,687","10,854","11,112",5.3,-3.3,0.6,1.6,2.4,133
"Gainesville, GA","6,786","6,712","7,120","7,620","7,880","8,253",-1.1,6.1,7.0,3.4,4.7,25
"Gettysburg, PA","2,615","2,682","2,731","2,752","2,922","2,999",2.6,1.8,0.8,6.2,2.6,102
"Glens Falls, NY","4,382","4,309","4,358","4,374","4,415","4,437",-1.7,1.1,0.4,0.9,0.5,285
"Goldsboro, NC","3,983","3,984","3,953","3,950","3,889","3,908",0.0,-0.8,-0.1,-1.5,0.5,290
"Grand Forks, ND-MN","4,299","4,462","4,456","4,621","4,923","4,915",3.8,-0.1,3.7,6.5,-0.2,321
"Grand Island, NE","3,625","3,625","3,603","3,698","3,764","3,850",0.0,-0.6,2.6,1.8,2.3,143
"Grand Junction, CO","4,881","4,801","4,886","4,758","4,649","4,842",-1.6,1.8,-2.6,-2.3,4.2,35
"Grand Rapids-Wyoming, MI","44,451","46,324","48,301","50,469","51,071","52,734",4.2,4.3,4.5,1.2,3.3,61
"Grants Pass, OR","1,907","1,842","1,909","2,025","2,077","2,167",-3.4,3.6,6.1,2.6,4.3,31
"Great Falls, MT","2,882","2,842","2,962","3,035","3,008","3,026",-1.4,4.2,2.5,-0.9,0.6,276
"Greeley, CO","8,021","8,395","9,690","10,185","10,046","10,987",4.7,15.4,5.1,-1.4,9.4,6
"Green Bay, WI","15,572","15,557","15,723","16,485","16,762","17,091",-0.1,1.1,4.8,1.7,2.0,158
"Greensboro-High Point, NC","33,596","34,076","34,856","35,618","35,069","35,596",1.4,2.3,2.2,-1.5,1.5,204
"Greenville, NC","6,556","6,707","6,693","6,734","6,735","6,890",2.3,-0.2,0.6,0.0,2.3,140
"Greenville-Anderson-Mauldin, SC","31,989","32,599","33,636","34,970","35,601","36,527",1.9,3.2,4.0,1.8,2.6,105
"Gulfport-Biloxi-Pascagoula, MS","15,519","14,918","14,527","14,535","15,390","15,037",-3.9,-2.6,0.1,5.9,-2.3,369
"Hagerstown-Martinsburg, MD-WV","8,107","8,233","8,429","8,331","8,523","8,732",1.6,2.4,-1.2,2.3,2.5,118
"Hammond, LA","3,397","3,261","3,380","3,269","3,440","3,464",-4.0,3.7,-3.3,5.2,0.7,264
"Hanford-Corcoran, CA","4,312","4,338","4,618","4,473","4,456","4,469",0.6,6.4,-3.1,-0.4,0.3,303
"Harrisburg-Carlisle, PA","30,273","30,572","30,929","31,730","31,842","32,491",1.0,1.2,2.6,0.4,2.0,153
"Harrisonburg, VA","6,778","6,749","6,740","6,934","6,927","6,975",-0.4,-0.1,2.9,-0.1,0.7,266
"Hartford-West Hartford-East Hartford, CT","79,252","77,716","77,007","79,783","78,122","79,244",-1.9,-0.9,3.6,-2.1,1.4,214
"Hattiesburg, MS","4,982","4,960","5,022","5,157","5,260","5,334",-0.4,1.3,2.7,2.0,1.4,217
"Hickory-Lenoir-Morganton, NC","11,174","11,174","11,313","11,757","11,896","12,488",0.0,1.2,3.9,1.2,5.0,22
"Hilton Head Island-Bluffton-Beaufort, SC","7,240","7,322","7,608","7,745","7,776","7,890",1.1,3.9,1.8,0.4,1.5,209
"Hinesville, GA","3,312","3,349","3,164","3,066","2,958","2,993",1.1,-5.5,-3.1,-3.6,1.2,228
"Homosassa Springs, FL","3,148","2,974","2,768","2,772","2,703","2,757",-5.5,-6.9,0.1,-2.5,2.0,155
"Hot Springs, AR","2,905","2,689","2,688","2,724","2,737","2,789",-7.4,0.0,1.3,0.5,1.9,162
"Houma-Thibodaux, LA","10,703","10,507","10,301","9,301","8,147","7,972",-1.8,-2.0,-9.7,-12.4,-2.1,366
"Houston-The Woodlands-Sugar Land, TX","408,515","425,042","436,083","452,352","436,221","436,369",4.0,2.6,3.7,-3.6,0.0,314
"Huntington-Ashland, WV-KY-OH","12,445","13,279","13,220","13,080","13,131","13,229",6.7,-0.4,-1.1,0.4,0.7,262
"Huntsville, AL","21,479","21,309","21,637","21,900","22,263","22,677",-0.8,1.5,1.2,1.7,1.9,167
"Idaho Falls, ID","5,114","5,106","5,199","5,536","5,810","6,094",-0.2,1.8,6.5,5.0,4.9,23
"Indianapolis-Carmel-Anderson, IN","109,669","114,433","115,622","115,403","119,627","122,608",4.3,1.0,-0.2,3.7,2.5,116
"Iowa City, IA","8,145","8,333","8,634","8,665","8,886","8,934",2.3,3.6,0.4,2.6,0.5,282
"Ithaca, NY","4,415","4,398","4,348","4,332","4,326","4,391",-0.4,-1.2,-0.4,-0.1,1.5,205
"Jackson, MI","5,188","5,548","5,305","5,329","5,496","5,548",6.9,-4.4,0.4,3.1,0.9,252
"Jackson, MS","25,090","25,300","25,665","25,897","26,140","26,268",0.8,1.4,0.9,0.9,0.5,288
"Jackson, TN","5,514","5,355","5,210","5,236","5,566","5,629",-2.9,-2.7,0.5,6.3,1.1,234
"Jacksonville, FL","55,731","58,099","58,499","61,288","63,595","65,830",4.3,0.7,4.8,3.8,3.5,52
"Jacksonville, NC","7,440","7,363","7,212","7,000","7,360","7,385",-1.0,-2.0,-2.9,5.1,0.3,300
"Janesville-Beloit, WI","5,165","5,429","5,248","5,419","5,587","5,737",5.1,-3.3,3.3,3.1,2.7,99
"Jefferson City, MO","5,977","6,289","6,303","6,370","6,272","6,359",5.2,0.2,1.1,-1.5,1.4,218
"Johnson City, TN","6,007","5,876","5,786","5,980","5,983","6,092",-2.2,-1.5,3.4,0.0,1.8,170
"Johnstown, PA","3,971","3,939","3,890","3,804","3,691","3,690",-0.8,-1.3,-2.2,-3.0,0.0,316
"Jonesboro, AR","4,302","4,379","4,304","4,377","4,467","4,521",1.8,-1.7,1.7,2.1,1.2,229
"Joplin, MO","6,204","6,288","6,238","6,462","6,310","6,486",1.4,-0.8,3.6,-2.4,2.8,88
"Kahului-Wailuku-Lahaina, HI","7,072","7,142","7,281","7,544","7,814","7,938",1.0,1.9,3.6,3.6,1.6,197
"Kalamazoo-Portage, MI","12,821","13,052","13,177","13,935","14,466","14,630",1.8,1.0,5.8,3.8,1.1,235
"Kankakee, IL","3,437","3,402","3,410","3,664","3,765","3,840",-1.0,0.3,7.4,2.8,2.0,156
"Kansas City, MO-KS","106,370","108,227","110,826","112,987","113,011","114,418",1.7,2.4,1.9,0.0,1.2,225
"Kennewick-Richland, WA","10,656","10,450","10,458","11,164","11,699","11,894",-1.9,0.1,6.8,4.8,1.7,188
"Killeen-Temple, TX","15,246","14,961","14,799","15,264","15,160","15,411",-1.9,-1.1,3.1,-0.7,1.7,189
"Kingsport-Bristol-Bristol, TN-VA","11,400","11,076","10,402","10,213","10,024","10,101",-2.8,-6.1,-1.8,-1.8,0.8,261
"Kingston, NY","5,188","5,217","5,146","5,230","5,261","5,318",0.6,-1.4,1.6,0.6,1.1,240
"Knoxville, TN","33,074","32,865","33,572","34,515","35,581","36,179",-0.6,2.2,2.8,3.1,1.7,186
"Kokomo, IN","3,851","4,037","4,111","4,184","4,188","4,101",4.8,1.8,1.8,0.1,-2.1,365
"La Crosse-Onalaska, WI-MN","6,113","6,052","6,103","6,244","6,356","6,510",-1.0,0.8,2.3,1.8,2.4,123
"Lafayette, LA","25,132","23,781","23,088","21,294","19,200","19,285",-5.4,-2.9,-7.8,-9.8,0.4,292
"Lafayette-West Lafayette, IN","8,477","8,458","8,566","8,608","8,864","8,945",-0.2,1.3,0.5,3.0,0.9,254
