"Table 2. Real Gross Domestic Product (GDP) by Metropolitan Area, 2012-2017",,,,,,,,,,,,
"Lake Charles, LA","11,155","10,430","11,530","12,420","13,395","13,614",-6.5,10.6,7.7,7.8,1.6,190
"Lake Havasu City-Kingman, AZ","3,638","3,622","3,673","3,631","3,620","3,759",-0.4,1.4,-1.1,-0.3,3.8,42
"Lakeland-Winter Haven, FL","16,685","17,149","16,944","17,490","17,872","18,297",2.8,-1.2,3.2,2.2,2.4,132
"Lancaster, PA","22,155","22,401","23,217","24,751","24,717","25,170",1.1,3.6,6.6,-0.1,1.8,168
"Lansing-East Lansing, MI","18,188","18,194","18,451","18,796","19,426","19,548",0.0,1.4,1.9,3.4,0.6,273
"Laredo, TX","7,050","6,943","7,004","7,102","7,020","7,090",-1.5,0.9,1.4,-1.2,1.0,245
"Las Cruces, NM","5,965","5,787","5,877","6,006","6,150","6,171",-3.0,1.5,2.2,2.4,0.3,297
"Las Vegas-Henderson-Paradise, NV","83,380","84,767","85,858","92,309","93,517","96,062",1.7,1.3,7.5,1.3,2.7,94
"Lawrence, KS","3,633","3,649","3,667","3,806","3,919","3,959",0.5,0.5,3.8,3.0,1.0,242
"Lawton, OK","4,414","4,460","4,463","4,545","4,499","4,497",1.1,0.1,1.8,-1.0,-0.1,318
"Lebanon, PA","4,130","4,230","4,201","4,302","4,389","4,474",2.4,-0.7,2.4,2.0,1.9,160
"Lewiston, ID-WA","2,030","2,014","1,977","2,041","2,085","2,146",-0.8,-1.8,3.3,2.1,2.9,78
"Lewiston-Auburn, ME","3,498","3,451","3,513","3,509","3,572","3,621",-1.4,1.8,-0.1,1.8,1.4,219
"Lexington-Fayette, KY","23,612","23,847","24,072","24,910","25,792","26,079",1.0,0.9,3.5,3.5,1.1,238
"Lima, OH","4,632","4,697","5,044","4,585","4,586","4,695",1.4,7.4,-9.1,0.0,2.4,130
"Lincoln, NE","15,683","16,028","16,471","16,857","17,054","17,300",2.2,2.8,2.3,1.2,1.4,212
"Little Rock-North Little Rock-Conway, AR","33,732","32,795","33,193","33,820","33,914","34,241",-2.8,1.2,1.9,0.3,1.0,250
"Logan, UT-ID","3,986","3,903","4,042","4,278","4,377","4,411",-2.1,3.6,5.8,2.3,0.8,258
"Longview, TX","10,072","10,092","10,247","9,679","8,927","9,137",0.2,1.5,-5.5,-7.8,2.4,137
"Longview, WA","3,397","3,502","3,507","3,510","3,643","3,761",3.1,0.1,0.1,3.8,3.2,62
"Los Angeles-Long Beach-Anaheim, CA","781,151","796,341","826,980","869,246","880,453","904,899",1.9,3.8,5.1,1.3,2.8,90
"Louisville/Jefferson County, KY-IN","59,016","58,993","62,654","63,914","64,736","65,700",0.0,6.2,2.0,1.3,1.5,206
"Lubbock, TX","10,649","11,296","11,224","11,578","11,846","12,038",6.1,-0.6,3.2,2.3,1.6,193
"Lynchburg, VA","8,335","8,339","8,320","8,275","8,343","8,547",0.0,-0.2,-0.5,0.8,2.4,121
"Macon, GA","7,856","8,047","8,388","8,372","8,400","8,457",2.4,4.2,-0.2,0.3,0.7,270
"Madera, CA","4,094","4,262","4,601","4,737","5,178","4,956",4.1,7.9,3.0,9.3,-4.3,379
"Madison, WI","37,133","37,970","38,121","41,121","42,829","43,597",2.3,0.4,7.9,4.2,1.8,171
"Manchester-Nashua, NH","21,909","22,297","22,623","23,765","24,724","25,103",1.8,1.5,5.0,4.0,1.5,199
"Manhattan, KS","3,064","2,985","3,003","3,109","3,249","3,308",-2.6,0.6,3.5,4.5,1.8,169
"Mankato-North Mankato, MN","4,211","4,346","4,563","4,563","4,590","4,714",3.2,5.0,0.0,0.6,2.7,96
"Mansfield, OH","3,804","3,865","3,931","3,872","3,861","3,914",1.6,1.7,-1.5,-0.3,1.4,220
"McAllen-Edinburg-Mission, TX","15,844","16,270","16,769","17,053","17,317","17,652",2.7,3.1,1.7,1.6,1.9,161
"Medford, OR","6,250","6,403","6,588","6,854","7,222","7,412",2.5,2.9,4.0,5.4,2.6,103
"Memphis, TN-MS-AR","61,703","61,116","60,758","61,268","61,837","62,059",-1.0,-0.6,0.8,0.9,0.4,296
"Merced, CA","6,185","6,683","7,131","7,120","7,620","7,590",8.0,6.7,-0.2,7.0,-0.4,333
"Miami-Fort Lauderdale-West Palm Beach, FL","254,161","251,020","267,698","281,369","289,602","296,486",-1.2,6.6,5.1,2.9,2.4,131
"Michigan City-La Porte, IN","3,547","3,586","3,489","3,313","3,430","3,443",1.1,-2.7,-5.0,3.5,0.4,295
"Midland, MI","3,775","3,742","4,278","4,677","4,937","5,408",-0.9,14.3,9.3,5.6,9.5,5
"Midland, TX","23,716","25,784","28,958","29,345","27,724","29,825",8.7,12.3,1.3,-5.5,7.6,7
"Milwaukee-Waukesha-West Allis, WI","90,230","91,382","92,422","89,404","90,914","91,962",1.3,1.1,-3.3,1.7,1.2,232
"Minneapolis-St. Paul-Bloomington, MN-WI","202,894","206,173","213,027","216,781","221,284","226,152",1.6,3.3,1.8,2.1,2.2,147
"Missoula, MT","4,354","4,288","4,271","4,484","4,676","4,807",-1.5,-0.4,5.0,4.3,2.8,87
"Mobile, AL","16,452","16,237","16,208","16,547","16,836","16,803",-1.3,-0.2,2.1,1.7,-0.2,324
"Modesto, CA","15,335","15,644","16,533","17,244","18,011","17,954",2.0,5.7,4.3,4.4,-0.3,328
"Monroe, LA","6,084","6,180","6,172","6,639","6,859","6,936",1.6,-0.1,7.6,3.3,1.1,236
"Monroe, MI","4,259","4,321","4,252","4,215","4,486","4,479",1.5,-1.6,-0.9,6.4,-0.2,322
"Montgomery, AL","14,920","14,987","14,831","14,982","15,288","15,179",0.4,-1.0,1.0,2.0,-0.7,341
"Morgantown, WV","6,027","6,224","6,362","6,592","6,699","6,903",3.3,2.2,3.6,1.6,3.0,69
"Morristown, TN","3,505","3,508","3,568","3,680","3,726","3,828",0.1,1.7,3.2,1.2,2.8,92
"Mount Vernon-Anacortes, WA","4,146","4,413","4,400","4,827","5,111","5,244",6.4,-0.3,9.7,5.9,2.6,106
"Muncie, IN","3,484","3,444","3,391","3,363","3,407","3,425",-1.1,-1.5,-0.8,1.3,0.5,283
"Muskegon, MI","4,809","4,937","5,013","5,104","5,172","5,196",2.7,1.5,1.8,1.3,0.5,291
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","13,485","13,818","14,064","14,400","14,587","14,844",2.5,1.8,2.4,1.3,1.8,175
"Napa, CA","7,857","8,176","8,628","9,198","9,478","9,750",4.1,5.5,6.6,3.0,2.9,82
"Naples-Immokalee-Marco Island, FL","12,925","13,018","13,958","14,971","15,423","15,608",0.7,7.2,7.3,3.0,1.2,230
"Nashville-Davidson--Murfreesboro--Franklin, TN","92,353","95,449","99,779","106,079","111,187","115,716",3.4,4.5,6.3,4.8,4.1,38
"New Bern, NC","4,407","4,384","4,349","4,352","4,349","4,301",-0.5,-0.8,0.1,-0.1,-1.1,354
"New Haven-Milford, CT","38,471","38,387","37,920","38,239","38,773","39,442",-0.2,-1.2,0.8,1.4,1.7,178
"New Orleans-Metairie, LA","65,736","61,936","64,052","67,777","67,628","67,023",-5.8,3.4,5.8,-0.2,-0.9,347
"New York-Newark-Jersey City, NY-NJ-PA","1,364,249","1,367,354","1,391,584","1,419,450","1,425,635","1,444,484",0.2,1.8,2.0,0.4,1.3,222
"Niles-Benton Harbor, MI","5,623","5,834","5,934","5,947","5,976","5,952",3.8,1.7,0.2,0.5,-0.4,334
"North Port-Sarasota-Bradenton, FL","22,600","22,912","24,106","25,641","26,417","27,015",1.4,5.2,6.4,3.0,2.3,144
"Norwich-New London, CT","13,893","13,562","13,032","13,416","13,316","13,643",-2.4,-3.9,3.0,-0.7,2.5,119
"Ocala, FL","6,872","6,648","6,882","7,057","7,450","7,503",-3.3,3.5,2.5,5.6,0.7,265
"Ocean City, NJ","4,208","4,461","4,556","4,431","4,488","4,481",6.0,2.1,-2.7,1.3,-0.2,323
"Odessa, TX","9,145","10,049","10,609","9,413","8,083","9,061",9.9,5.6,-11.3,-14.1,12.1,1
"Ogden-Clearfield, UT","19,309","19,788","20,113","21,000","21,689","22,326",2.5,1.6,4.4,3.3,2.9,75
"Oklahoma City, OK","59,137","61,798","62,376","67,710","66,202","67,714",4.5,0.9,8.6,-2.2,2.3,142
"Olympia-Tumwater, WA","9,193","9,315","9,372","9,690","10,137","10,653",1.3,0.6,3.4,4.6,5.1,20
"Omaha-Council Bluffs, NE-IA","49,825","49,900","52,424","54,634","55,723","56,229",0.1,5.1,4.2,2.0,0.9,255
"Orlando-Kissimmee-Sanford, FL","99,420","108,641","106,521","110,717","112,805","114,969",9.3,-2.0,3.9,1.9,1.9,163
"Oshkosh-Neenah, WI","8,731","8,590","8,720","8,901","9,098","9,245",-1.6,1.5,2.1,2.2,1.6,195
"Owensboro, KY","4,560","4,807","4,797","4,884","4,826","4,849",5.4,-0.2,1.8,-1.2,0.5,286
"Oxnard-Thousand Oaks-Ventura, CA","42,433","43,341","43,527","43,945","43,561","43,400",2.1,0.4,1.0,-0.9,-0.4,330
"Palm Bay-Melbourne-Titusville, FL","17,222","17,333","17,419","18,097","18,602","19,480",0.6,0.5,3.9,2.8,4.7,27
"Panama City, FL","6,667","7,143","7,245","7,329","7,376","7,273",7.1,1.4,1.2,0.6,-1.4,358
"Parkersburg-Vienna, WV","3,567","3,585","4,083","3,913","3,735","3,823",0.5,13.9,-4.2,-4.6,2.4,135
"Pensacola-Ferry Pass-Brent, FL","14,430","14,816","14,654","15,091","15,232","15,495",2.7,-1.1,3.0,0.9,1.7,179
"Peoria, IL","21,494","18,509","18,506","17,595","17,263","16,364",-13.9,0.0,-4.9,-1.9,-5.2,380
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","352,056","363,869","366,776","375,649","381,746","387,217",3.4,0.8,2.4,1.6,1.4,215
"Phoenix-Mesa-Scottsdale, AZ","187,477","188,075","193,215","199,361","204,015","210,968",0.3,2.7,3.2,2.3,3.4,55
"Pine Bluff, AR","3,007","2,913","2,781","2,623","2,708","2,663",-3.1,-4.5,-5.7,3.3,-1.7,361
"Pittsburgh, PA","116,075","118,174","122,322","126,241","126,546","131,222",1.8,3.5,3.2,0.2,3.7,45
"Pittsfield, MA","5,856","5,781","5,794","5,912","6,049","6,024",-1.3,0.2,2.1,2.3,-0.4,335
"Pocatello, ID","2,435","2,290","2,282","2,320","2,381","2,437",-5.9,-0.4,1.7,2.6,2.4,134
"Portland-South Portland, ME","25,536","25,484","26,004","26,602","27,343","27,812",-0.2,2.0,2.3,2.8,1.7,180
"Portland-Vancouver-Hillsboro, OR-WA","142,586","138,916","141,344","146,689","151,966","156,553",-2.6,1.7,3.8,3.6,3.0,71
"Port St. Lucie, FL","11,039","10,922","11,018","11,523","11,745","12,114",-1.1,0.9,4.6,1.9,3.1,65
"Prescott, AZ","4,743","4,690","4,860","4,952","5,092","5,300",-1.1,3.6,1.9,2.8,4.1,36
"Providence-Warwick, RI-MA","67,866","67,805","68,520","70,296","70,618","71,739",-0.1,1.1,2.6,0.5,1.6,196
"Provo-Orem, UT","16,030","16,751","17,485","19,545","20,998","22,183",4.5,4.4,11.8,7.4,5.6,15
"Pueblo, CO","4,231","4,134","4,225","4,293","4,409","4,534",-2.3,2.2,1.6,2.7,2.9,86
"Punta Gorda, FL","3,245","3,056","3,269","3,515","3,637","3,719",-5.8,7.0,7.5,3.5,2.3,145
"Racine, WI","7,212","6,954","6,896","6,879","6,773","6,791",-3.6,-0.8,-0.2,-1.5,0.3,304
"Raleigh, NC","59,932","60,609","63,565","68,143","70,688","72,626",1.1,4.9,7.2,3.7,2.7,93
"Rapid City, SD","5,559","5,499","5,643","5,606","5,724","5,833",-1.1,2.6,-0.6,2.1,1.9,165
"Reading, PA","15,263","15,502","16,499","17,042","17,526","16,375",1.6,6.4,3.3,2.8,-6.6,381
"Redding, CA","4,841","4,902","5,073","5,283","5,774","6,046",1.3,3.5,4.1,9.3,4.7,28
"Reno, NV","18,691","19,589","20,498","20,968","21,829","23,060",4.8,4.6,2.3,4.1,5.6,16
"Richmond, VA","64,269","65,101","65,747","68,160","68,902","70,677",1.3,1.0,3.7,1.1,2.6,111
"Riverside-San Bernardino-Ontario, CA","114,558","119,237","122,296","128,573","132,105","135,986",4.1,2.6,5.1,2.7,2.9,74
"Roanoke, VA","13,213","13,200","13,160","13,480","13,258","13,263",-0.1,-0.3,2.4,-1.6,0.0,313
"Rochester, MN","9,972","10,000","10,115","10,392","10,815","11,200",0.3,1.2,2.7,4.1,3.6,48
"Rochester, NY","49,194","49,434","48,002","48,710","48,680","48,504",0.5,-2.9,1.5,-0.1,-0.4,329
"Rockford, IL","13,199","12,928","13,106","12,973","12,830","13,235",-2.1,1.4,-1.0,-1.1,3.2,64
"Rocky Mount, NC","5,558","5,510","5,351","5,435","5,040","4,962",-0.9,-2.9,1.6,-7.3,-1.5,359
"Rome, GA","3,228","3,278","3,296","3,331","3,421","3,426",1.5,0.5,1.1,2.7,0.2,311
"Sacramento--Roseville--Arden-Arcade, CA","95,520","97,554","99,800","103,625","106,232","108,732",2.1,2.3,3.8,2.5,2.4,136
"Saginaw, MI","7,215","7,274","7,205","7,082","7,097","7,117",0.8,-0.9,-1.7,0.2,0.3,301
"St. Cloud, MN","7,794","7,902","8,262","8,294","8,614","8,825",1.4,4.6,0.4,3.9,2.4,120
"St. George, UT","3,548","3,707","3,882","4,150","4,480","4,705",4.5,4.7,6.9,8.0,5.0,21
"St. Joseph, MO-KS","4,982","5,149","4,898","4,675","4,685","4,772",3.4,-4.9,-4.6,0.2,1.9,166
"St. Louis, MO-IL","134,592","136,157","137,437","138,647","138,832","139,509",1.2,0.9,0.9,0.1,0.5,287
"Salem, OR","12,010","12,152","12,764","13,624","14,585","14,863",1.2,5.0,6.7,7.1,1.9,164
"Salinas, CA","17,292","18,110","18,312","19,782","20,505","20,735",4.7,1.1,8.0,3.7,1.1,237
"Salisbury, MD-DE","13,165","13,986","14,761","15,975","16,656","17,087",6.2,5.5,8.2,4.3,2.6,109
"Salt Lake City, UT","65,892","66,175","67,969","71,143","72,554","74,363",0.4,2.7,4.7,2.0,2.5,115
"San Angelo, TX","4,126","4,379","4,853","4,812","4,679","4,675",6.1,10.8,-0.8,-2.8,-0.1,319
"San Antonio-New Braunfels, TX","88,033","93,734","100,494","109,081","113,035","118,241",6.5,7.2,8.5,3.6,4.6,30
"San Diego-Carlsbad, CA","181,170","186,674","189,042","190,899","197,641","201,986",3.0,1.3,1.0,3.5,2.2,148
"San Francisco-Oakland-Hayward, CA","337,674","350,305","368,129","389,201","411,340","425,358",3.7,5.1,5.7,5.7,3.4,56
"San Jose-Sunnyvale-Santa Clara, CA","178,727","188,543","202,567","224,908","238,384","256,419",5.5,7.4,11.0,6.0,7.6,8
"San Luis Obispo-Paso Robles-Arroyo Grande, CA","11,275","12,022","12,031","12,517","12,795","13,010",6.6,0.1,4.0,2.2,1.7,187
"Santa Cruz-Watsonville, CA","10,148","10,733","11,010","11,370","11,417","11,481",5.8,2.6,3.3,0.4,0.6,280
"Santa Fe, NM","6,294","6,478","6,114","6,223","6,124","6,223",2.9,-5.6,1.8,-1.6,1.6,191
"Santa Maria-Santa Barbara, CA","20,494","21,042","21,416","22,760","22,571","22,938",2.7,1.8,6.3,-0.8,1.6,192
"Santa Rosa, CA","20,509","21,476","22,391","23,864","24,210","24,985",4.7,4.3,6.6,1.4,3.2,63
"Savannah, GA","14,014","14,157","14,639","14,963","15,103","15,652",1.0,3.4,2.2,0.9,3.6,46
"Scranton--Wilkes-Barre--Hazleton, PA","19,709","20,599","20,108","20,623","20,684","20,782",4.5,-2.4,2.6,0.3,0.5,289
"Seattle-Tacoma-Bellevue, WA","256,930","264,336","273,733","286,317","297,254","312,587",2.9,3.6,4.6,3.8,5.2,18
"Sebastian-Vero Beach, FL","4,187","4,100","4,392","4,659","4,829","4,709",-2.1,7.1,6.1,3.7,-2.5,372
"Sebring, FL","1,815","1,769","1,689","1,762","1,788","1,810",-2.5,-4.5,4.3,1.5,1.2,227
"Sheboygan, WI","5,178","5,180","5,248","5,395","5,715","5,878",0.0,1.3,2.8,5.9,2.9,84
"Sherman-Denison, TX","3,575","3,763","3,705","3,821","3,840","3,933",5.2,-1.5,3.1,0.5,2.4,128
"Shreveport-Bossier City, LA","18,252","18,653","18,959","19,875","19,896","20,198",2.2,1.6,4.8,0.1,1.5,202
"Sierra Vista-Douglas, AZ","3,998","3,720","3,536","3,507","3,489","3,511",-7.0,-4.9,-0.8,-0.5,0.6,272
"Sioux City, IA-NE-SD","7,516","7,861","7,851","8,360","8,811","8,454",4.6,-0.1,6.5,5.4,-4.0,378
"Sioux Falls, SD","14,822","14,407","14,875","15,387","15,783","16,016",-2.8,3.2,3.4,2.6,1.5,208
"South Bend-Mishawaka, IN-MI","11,848","11,551","11,752","12,050","12,160","12,231",-2.5,1.7,2.5,0.9,0.6,278
"Spartanburg, SC","11,645","11,860","12,330","12,706","13,323","13,794",1.8,4.0,3.1,4.9,3.5,50
"Spokane-Spokane Valley, WA","20,259","20,191","20,616","21,055","21,459","21,999",-0.3,2.1,2.1,1.9,2.5,113
"Springfield, IL","8,983","8,689","8,882","8,884","8,845","8,812",-3.3,2.2,0.0,-0.4,-0.4,332
"Springfield, MA","22,937","23,118","23,115","23,759","23,863","24,050",0.8,0.0,2.8,0.4,0.8,260
"Springfield, MO","15,131","15,482","15,700","16,269","16,252","16,863",2.3,1.4,3.6,-0.1,3.8,44
"Springfield, OH","3,782","3,845","3,860","3,804","3,783","3,914",1.7,0.4,-1.4,-0.6,3.5,54
"State College, PA","6,955","7,327","7,643","7,860","7,955","8,091",5.3,4.3,2.8,1.2,1.7,181
"Staunton-Waynesboro, VA","4,192","4,262","4,296","4,380","4,382","4,449",1.7,0.8,2.0,0.1,1.5,203
"Stockton-Lodi, CA","20,698","20,985","21,187","22,364","23,058","23,556",1.4,1.0,5.6,3.1,2.2,149
"Sumter, SC","3,330","3,306","3,315","3,283","3,286","3,367",-0.7,0.3,-1.0,0.1,2.5,117
"Syracuse, NY","29,045","28,556","28,600","28,908","29,177","29,234",-1.7,0.2,1.1,0.9,0.2,309
"Tallahassee, FL","13,172","13,103","13,081","13,132","13,413","13,834",-0.5,-0.2,0.4,2.1,3.1,66
"Tampa-St. Petersburg-Clearwater, FL","112,552","118,058","117,768","121,877","125,260","127,432",4.9,-0.2,3.5,2.8,1.7,177
"Terre Haute, IN","5,887","5,952","5,747","5,522","5,545","5,626",1.1,-3.4,-3.9,0.4,1.5,210
"Texarkana, TX-AR","4,856","4,514","4,483","4,588","4,634","4,641",-7.0,-0.7,2.3,1.0,0.2,310
"The Villages, FL","2,000","2,021","2,122","2,169","2,327","2,416",1.0,5.0,2.2,7.3,3.8,43
"Toledo, OH","26,432","27,146","29,259","28,116","28,457","28,300",2.7,7.8,-3.9,1.2,-0.6,338
"Topeka, KS","9,365","9,169","9,168","9,014","9,186","9,205",-2.1,0.0,-1.7,1.9,0.2,307
"Trenton, NJ","28,564","26,756","26,411","26,215","26,483","25,759",-6.3,-1.3,-0.7,1.0,-2.7,373
"Tucson, AZ","34,979","33,904","33,431","32,791","32,879","33,841",-3.1,-1.4,-1.9,0.3,2.9,77
"Tulsa, OK","51,828","55,414","60,885","59,497","55,534","54,921",6.9,9.9,-2.3,-6.7,-1.1,353
"Tuscaloosa, AL","9,632","10,049","9,790","9,995","9,682","10,198",4.3,-2.6,2.1,-3.1,5.3,17
"Twin Falls, ID","3,153","3,226","3,378","3,454","3,589","3,669",2.3,4.7,2.3,3.9,2.2,146
"Tyler, TX","12,143","13,074","13,557","14,737","14,648","14,594",7.7,3.7,8.7,-0.6,-0.4,331
"Urban Honolulu, HI","52,481","53,531","53,838","56,010","56,900","57,861",2.0,0.6,4.0,1.6,1.7,185
"Utica-Rome, NY","9,650","9,609","9,386","9,438","9,514","9,537",-0.4,-2.3,0.6,0.8,0.2,306
"Valdosta, GA","4,300","4,196","4,214","4,232","4,268","4,378",-2.4,0.4,0.4,0.9,2.6,110
"Vallejo-Fairfield, CA","16,675","17,517","17,583","17,148","17,401","17,818",5.0,0.4,-2.5,1.5,2.4,127
"Victoria, TX","4,543","4,876","4,955","4,772","4,506","4,545",7.3,1.6,-3.7,-5.6,0.9,256
"Vineland-Bridgeton, NJ","5,037","4,906","4,964","5,001","5,017","4,988",-2.6,1.2,0.7,0.3,-0.6,340
"Virginia Beach-Norfolk-Newport News, VA-NC","80,740","80,263","79,998","82,058","81,022","81,821",-0.6,-0.3,2.6,-1.3,1.0,247
"Visalia-Porterville, CA","11,924","12,564","13,518","13,436","14,546","13,582",5.4,7.6,-0.6,8.3,-6.6,382
"Waco, TX","9,302","9,650","9,861","10,170","10,331","10,676",3.7,2.2,3.1,1.6,3.3,59
"Walla Walla, WA","2,409","2,399","2,320","2,402","2,561","2,481",-0.4,-3.3,3.5,6.6,-3.2,376
"Warner Robins, GA","6,208","6,092","6,067","6,040","6,103","6,106",-1.9,-0.4,-0.4,1.0,0.0,312
"Washington-Arlington-Alexandria, DC-VA-MD-WV","435,144","431,875","434,035","442,788","450,726","460,026",-0.8,0.5,2.0,1.8,2.1,151
"Waterloo-Cedar Falls, IA","8,839","7,999","8,257","8,268","8,331","8,609",-9.5,3.2,0.1,0.8,3.3,60
"Watertown-Fort Drum, NY","6,098","5,946","5,779","5,535","5,295","5,172",-2.5,-2.8,-4.2,-4.3,-2.3,370
"Wausau, WI","6,273","6,309","6,524","6,827","6,982","7,119",0.6,3.4,4.7,2.3,2.0,157
"Weirton-Steubenville, WV-OH","3,583","3,600","3,788","3,633","3,738","3,703",0.5,5.2,-4.1,2.9,-1.0,349
"Wenatchee, WA","3,798","3,745","3,829","4,063","4,361","4,563",-1.4,2.3,6.1,7.3,4.6,29
"Wheeling, WV-OH","6,350","6,357","6,676","6,532","6,427","7,130",0.1,5.0,-2.2,-1.6,10.9,3
"Wichita, KS","28,346","26,528","27,397","28,926","30,031","29,610",-6.4,3.3,5.6,3.8,-1.4,357
"Wichita Falls, TX","6,402","6,750","6,259","6,374","6,168","6,483",5.4,-7.3,1.8,-3.2,5.1,19
"Williamsport, PA","4,482","4,601","4,791","4,496","4,274","4,386",2.7,4.1,-6.2,-4.9,2.6,104
"Wilmington, NC","10,304","11,044","11,580","11,907","11,863","12,203",7.2,4.8,2.8,-0.4,2.9,83
"Winchester, VA-WV","5,264","5,339","5,389","5,588","5,678","5,833",1.4,0.9,3.7,1.6,2.7,95
"Winston-Salem, NC","23,222","23,433","24,754","25,296","24,689","25,263",0.9,5.6,2.2,-2.4,2.3,139
"Worcester, MA-CT","35,090","35,259","35,263","36,310","37,302","38,197",0.5,0.0,3.0,2.7,2.4,126
"Yakima, WA","7,859","7,679","7,886","8,005","8,377","8,420",-2.3,2.7,1.5,4.7,0.5,284
"York-Hanover, PA","15,736","16,101","15,971","16,159","16,459","16,900",2.3,-0.8,1.2,1.9,2.7,98
"Youngstown-Warren-Boardman, OH-PA","18,000","17,498","17,676","17,882","17,611","17,258",-2.8,1.0,1.2,-1.5,-2.0,364
"Yuba City, CA","4,481","4,661","4,729","4,838","4,990","5,105",4.0,1.5,2.3,3.2,2.3,141
"Yuma, AZ","5,127","5,336","5,200","5,627","6,154","6,175",4.1,-2.6,8.2,9.4,0.3,299
* Advance statistics,,,,,,,,,,,,
Source: U.S. Bureau of Economic Analysis,,,,,,,,,,,,