,Metropolitan Areas,GDP 2017,Unemployment Rate Jul 2017,Quarterly Income,Total Income,Avg Income,% Households with Internet,Pop Est Jul 2018
127,"Gadsden, AL","2,606",3.3,"2,092","326,515,952",695,,102501.0
831,"Gaffney, SC",,,,,,,57078.0
128,"Gainesville, FL","11,112",3.5,"7,556","1,582,620,330",904,83.30%,288212.0
129,"Gainesville, GA","8,253",2.9,"4,430","1,010,780,971",875,,202148.0
832,"Gainesville, TX",,,,,,,40574.0
833,"Galesburg, IL",,,,,,,50112.0
834,"Gallup, NM",,,,,,,72290.0
835,"Garden City, KS",,,,,,,40554.0
508,"Garden Grove, CA",,,,,,80.10%,
836,"Gardnerville Ranchos, NV",,,,,,,48467.0
465,"Garland, TX",,,,,,84.90%,
614,"Gary, IN Metro Division",,,,,,,701386.0
837,"Georgetown, SC",,,,,,,62249.0
130,"Gettysburg, PA","2,999",3.6,"2,178","361,648,354",792,,102811.0
396,"Gilbert, AZ",,,,,,93.40%,
838,"Gillette, WY",,,,,,,46140.0
839,"Glasgow, KY",,,,,,,54206.0
583,"Glendale, AZ",,,,,,69%,
521,"Glendale, CA",,,,,,78.80%,
131,"Glens Falls, NY","4,437",3.5,"3,655","602,207,331",827,,125462.0
840,"Glenwood Springs, CO",,,,,,,77720.0
841,"Gloversville, NY",,,,,,,53591.0
132,"Goldsboro, NC","3,908",4.7,"2,245","380,739,645",704,,123248.0
133,"Grand Forks, ND-MN","4,915",2.9,"3,258","572,138,855",854,,102299.0
134,"Grand Island, NE","3,850",3.4,"2,980","423,449,737",754,,85088.0
135,"Grand Junction, CO","4,842",3.5,"5,011","705,252,602",854,,153207.0
523,"Grand Prairie, TX",,,,,,78.60%,
555,"Grand Rapids, MI",,,,,,75.50%,
842,"Grand Rapids, MN",,,,,,,45108.0
136,"Grand Rapids-Wyoming, MI","52,734",3.9,"22,541","6,499,227,759",909,,1069405.0
137,"Grants Pass, OR","2,167",5.3,"2,637","250,252,789",689,,87393.0
843,"Grants, NM",,,,,,,26746.0
844,"Great Bend, KS",,,,,,,26111.0
138,"Great Falls, MT","3,026",2.8,"2,847","359,493,043",785,,81643.0
139,"Greeley, CO","10,987",2.6,"7,660","1,413,386,505",980,,314305.0
140,"Green Bay, WI","17,091",3.3,"8,505","2,051,739,240",898,77.30%,321591.0
845,"Greeneville, TN",,,,,,,69087.0
846,"Greenfield Town, MA",,,,,,,70963.0
528,"Greensboro, NC",,,,,,78.20%,
141,"Greensboro-High Point, NC","35,596",4.7,"18,465","3,918,632,907",867,,767711.0
847,"Greensburg, IN",,,,,,,26794.0
848,"Greenville, MS",,,,,,,45063.0
142,"Greenville, NC","6,890",5.2,"3,783","858,200,518",867,,179914.0
849,"Greenville, OH",,,,,,,51323.0
143,"Greenville-Anderson-Mauldin, SC","36,527",2.9,"21,287","4,403,129,044",851,,906626.0
850,"Greenwood, MS",,,,,,,38830.0
851,"Greenwood, SC",,,,,,,95282.0
852,"Grenada, MS",,,,,,,21055.0
532,"Gresham, OR",,,,,,78%,
379,"Guayama, PR",,,618,"84,292,140",483,,73000.0
144,"Gulfport-Biloxi-Pascagoula, MS","15,037",5.9,"7,947","1,530,714,984",796,,397261.0
853,"Guymon, OK",,,,,,,20455.0
145,"Hagerstown-Martinsburg, MD-WV","8,732",3.8,"5,577","1,048,349,284",817,,268049.0
854,"Hailey, ID",,,,,,,29088.0
146,"Hammond, LA","3,464",6.1,"3,007","381,967,831",675,,133777.0
520,"Hampton, VA",,,,,,78.80%,
147,"Hanford-Corcoran, CA","4,469",7.8,"4,095","526,044,524",839,,151366.0
855,"Hannibal, MO",,,,,,,38804.0
148,"Harrisburg-Carlisle, PA","32,491",4.0,"14,910","4,233,583,392",987,,574659.0
856,"Harrison, AR",,,,,,,45285.0
149,"Harrisonburg, VA","6,975",3.0,"3,564","656,508,858",790,,135277.0
607,"Hartford, CT",,,,,,57.70%,
150,"Hartford-West Hartford-East Hartford, CT","79,244",3.7,"37,276","9,444,648,126","1,174",,1206300.0
857,"Hastings, NE",,,,,,,31511.0
151,"Hattiesburg, MS","5,334",5.4,"3,535","589,613,705",739,,149414.0
858,"Hays, KS",,,,,,,28710.0
484,"Hayward, CA",,,,,,83.30%,
859,"Heber, UT",,,,,,,33240.0
860,"Helena, MT",,,,,,,80797.0
861,"Helena-West Helena, AR",,,,,,,18029.0
862,"Henderson, NC",,,,,,,44582.0
449,"Henderson, NV",,,,,,86.50%,
863,"Hereford, TX",,,,,,,18760.0
864,"Hermiston-Pendleton, OR",,,,,,,88888.0
604,"Hialeah, FL",,,,,,60.70%,
152,"Hickory-Lenoir-Morganton, NC","12,488",4.2,"7,775","1,499,456,433",762,,368416.0
534,"High Point, NC",,,,,,77.80%,
865,"Hillsdale, MI",,,,,,,45749.0
866,"Hilo, HI",,,,,,,200983.0
153,"Hilton Head Island-Bluffton-Beaufort, SC","7,890",3.0,"6,494","723,557,679",710,,217686.0
154,"Hinesville, GA","2,993",4.2,928,"201,121,735",784,,80495.0
867,"Hobbs, NM",,,,,,,69611.0
868,"Holland, MI",,,,,,,117327.0
506,"Hollywood, FL",,,,,,80.30%,
155,"Homosassa Springs, FL","2,757",5.2,"3,167","293,270,325",704,,147929.0
869,"Hood River, OR",,,,,,,23428.0
870,"Hope, AR",,,,,,,30067.0
156,"Hot Springs, AR","2,789",4.1,"3,064","329,661,243",688,,99154.0
871,"Houghton, MI",,,,,,,38332.0
157,"Houma-Thibodaux, LA","7,972",4.9,"5,281","1,049,603,953",965,,209136.0
556,"Houston, TX",,,,,,75.10%,
158,"Houston-The Woodlands-Sugar Land, TX","436,369",4.0,"158,213","46,696,821,214","1,211",,6997384.0
872,"Hudson, NY",,,,,,,59916.0
873,"Huntingdon, PA",,,,,,,45168.0
428,"Huntington Beach, CA",,,,,,88.90%,
874,"Huntington, IN",,,,,,,36240.0
159,"Huntington-Ashland, WV-KY-OH","13,229",5.3,"8,235","1,399,764,913",857,,352823.0
160,"Huntsville, AL","22,677",2.6,"11,235","3,235,306,772","1,112",76.90%,462693.0
875,"Huntsville, TX",,,,,,,87220.0
876,"Huron, SD",,,,,,,18883.0
877,"Hutchinson, KS",,,,,,,62342.0
878,"Hutchinson, MN",,,,,,,35873.0
161,"Idaho Falls, ID","6,094",2.2,"4,859","729,965,826",832,,148904.0
1194,In metropolitan statistical area,,,,,,,3054478.0
641,In micropolitan statistical area,,,,,,,27627895.0
642,In micropolitan statistical area,,,,,,,117214.0
544,"Independence, MO",,,,,,76.80%,
879,"Indiana, PA",,,,,,,84501.0
565,"Indianapolis, IN",,,,,,74%,
162,"Indianapolis-Carmel-Anderson, IN","122,608",3.3,"49,132","12,698,891,226",961,,2048703.0
880,"Indianola, MS",,,,,,,25735.0
561,"Inglewood, CA",,,,,,74.60%,
881,"Ionia, MI",,,,,,,64210.0
163,"Iowa City, IA","8,934",2.3,"5,084","1,147,884,610",967,,173401.0
882,"Iron Mountain, MI-WI",,,,,,,29704.0
393,"Irvine, CA",,,,,,95.30%,
499,"Irving, TX",,,,,,81.20%,
164,"Ithaca, NY","4,391",3.9,"2,652","648,879,129",991,,102793.0
165,"Jackson, MI","5,548",4.9,"2,662","673,269,168",903,,158823.0
166,"Jackson, MS","26,268",5.3,"14,621","2,741,197,424",819,61.20%,580166.0
883,"Jackson, OH",,,,,,,32384.0
167,"Jackson, TN","5,629",4.3,"3,082","673,473,441",776,,129209.0
884,"Jackson, WY-ID",,,,,,,34721.0
168,"Jacksonville, FL","65,830",3.5,"44,140","8,090,327,396",930,78.90%,1534701.0
885,"Jacksonville, IL",,,,,,,38902.0
169,"Jacksonville, NC","7,385",5.3,"3,113","405,268,125",657,,197683.0
886,"Jacksonville, TX",,,,,,,52592.0
887,"Jamestown, ND",,,,,,,20917.0
888,"Jamestown-Dunkirk-Fredonia, NY",,,,,,,127939.0
170,"Janesville-Beloit, WI","5,737",3.8,"3,545","763,227,223",868,,163129.0
889,"Jasper, IN",,,,,,,54975.0
1200,"Jayuya, PR",,,,,,,13947.0
171,"Jefferson City, MO","6,359",3.2,"3,853","757,072,524",783,,151520.0
890,"Jefferson, GA",,,,,,,70422.0
891,"Jennings, LA",,,,,,,31582.0
498,"Jersey City, NJ",,,,,,81.20%,
892,"Jesup, GA",,,,,,,29808.0
172,"Johnson City, TN","6,092",4.7,"3,972","764,913,107",768,,202719.0
173,"Johnstown, PA","3,690",5.8,"3,477","496,201,704",755,,131730.0
516,"Joliet, IL",,,,,,79.60%,
174,"Jonesboro, AR","4,521",3.3,"3,366","544,854,011",754,,132532.0
175,"Joplin, MO","6,486",3.7,"4,626","742,235,955",746,,178902.0
893,"Junction City, KS",,,,,,,32594.0
894,"Juneau, AK",,,,,,,32113.0
176,"Kahului-Wailuku-Lahaina, HI","7,938",2.6,"6,343","890,101,559",876,,167295.0
177,"Kalamazoo-Portage, MI","14,630",4.6,"6,432","1,722,143,332",921,,340318.0
895,"Kalispell, MT",,,,,,,102106.0
178,"Kankakee, IL","3,840",4.6,"2,246","481,789,115",824,,110024.0
592,"Kansas City, KS",,,,,,67.20%,
554,"Kansas City, MO",,,,,,75.60%,
179,"Kansas City, MO-KS","114,418",4.0,"64,515","13,482,384,697",993,,2143651.0
896,"Kapaa, HI",,,,,,,72133.0
897,"Kearney, NE",,,,,,,56159.0
898,"Keene, NH",,,,,,,76493.0
899,"Kendallville, IN",,,,,,,47532.0
900,"Kennett, MO",,,,,,,29423.0
180,"Kennewick-Richland, WA","11,894",5.4,"8,640","1,666,736,569","1,002",,296224.0
486,"Kent, WA",,,,,,83.10%,
901,"Kerrville, TX",,,,,,,52405.0
902,"Ketchikan, AK",,,,,,,13918.0
903,"Key West, FL",,,,,,,75027.0
904,"Kill Devil Hills, NC",,,,,,,40632.0
469,"Killeen, TX",,,,,,84.60%,
181,"Killeen-Temple, TX","15,411",4.0,"7,254","1,557,505,349",863,,451679.0
182,"Kingsport-Bristol-Bristol, TN-VA","10,101",4.4,"6,850","1,199,579,650",804,,306616.0
183,"Kingston, NY","5,318",3.7,"5,274","636,514,700",804,,178599.0
905,"Kingsville, TX",,,,,,,31571.0
906,"Kinston, NC",,,,,,,55976.0
907,"Kirksville, MO",,,,,,,29938.0
908,"Klamath Falls, OR",,,,,,,67653.0
184,"Knoxville, TN","36,179",4.2,"19,941","4,599,686,264",929,72.70%,883309.0
185,"Kokomo, IN","4,101",3.9,"1,718","468,910,331",918,,82366.0
186,"La Crosse-Onalaska, WI-MN","6,510",3.0,"3,621","791,469,888",817,,136808.0
910,"La Grande, OR",,,,,,,26461.0
911,"LaGrange, GA",,,,,,,70034.0
909,"Laconia, NH",,,,,,,61022.0
187,"Lafayette, LA","19,285",5.0,"15,171","2,208,842,345",867,81.30%,489364.0
188,"Lafayette-West Lafayette, IN","8,945",3.4,"4,062","1,085,368,491",902,,221828.0
189,"Lake Charles, LA","13,614",4.2,"5,571","1,530,780,358","1,032",,210080.0
912,"Lake City, FL",,,,,,,70503.0
615,"Lake County-Kenosha County, IL-WI Metro Division",,,,,,,870122.0
190,"Lake Havasu City-Kingman, AZ","3,759",6.5,"3,746","472,419,674",726,,209550.0
549,"Lakeland, FL",,,,,,76.30%,
191,"Lakeland-Winter Haven, FL","18,297",4.1,"13,497","2,289,117,711",801,,708009.0
515,"Lakewood, CO",,,,,,79.80%,
913,"Lamesa, TX",,,,,,,12619.0
563,"Lancaster, CA",,,,,,74.20%,
192,"Lancaster, PA","25,170",3.8,"13,636","2,781,953,238",877,,543557.0
558,"Lansing, MI",,,,,,75%,
193,"Lansing-East Lansing, MI","19,548",4.6,"9,183","2,581,945,355",943,,481893.0
914,"Laramie, WY",,,,,,,38601.0
194,"Laredo, TX","7,090",4.0,"5,536","918,153,930",698,59.80%,275910.0
195,"Las Cruces, NM","6,171",6.4,"4,872","674,943,457",717,77.70%,217522.0
915,"Las Vegas, NM",,,,,,,27591.0
518,"Las Vegas, NV",,,,,,79.10%,
196,"Las Vegas-Henderson-Paradise, NV","96,062",4.7,"54,929","11,873,758,823",914,,2231647.0
916,"Laurel, MS",,,,,,,84889.0
917,"Laurinburg, NC",,,,,,,34810.0
197,"Lawrence, KS","3,959",3.7,"3,083","458,565,077",730,,121436.0
918,"Lawrenceburg, TN",,,,,,,43734.0
198,"Lawton, OK","4,497",3.8,"2,481","424,983,349",762,,126198.0
919,"Lebanon, MO",,,,,,,35713.0
199,"Lebanon, PA","4,474",4.0,"2,824","526,472,324",809,,141314.0
920,"Levelland, TX",,,,,,,22980.0
921,"Lewisburg, PA",,,,,,,44785.0
922,"Lewisburg, TN",,,,,,,33683.0
200,"Lewiston, ID-WA","2,146",3.4,"1,883","282,374,234",793,,63018.0
201,"Lewiston-Auburn, ME","3,621",2.6,"3,094","518,550,422",811,,107679.0
923,"Lewistown, PA",,,,,,,46222.0
404,"Lewisville, TX",,,,,,91.60%,
924,"Lexington, NE",,,,,,,25705.0
202,"Lexington-Fayette, KY","26,079",4.0,"15,474","3,084,109,123",889,82.40%,516697.0
925,"Liberal, KS",,,,,,,21780.0
203,"Lima, OH","4,695",4.7,"2,487","554,558,588",837,,102663.0
926,"Lincoln, IL",,,,,,,28925.0
204,"Lincoln, NE","17,300",3.1,"10,535","1,984,536,058",855,83.30%,334590.0
545,"Little Rock, AR",,,,,,76.70%,
205,"Little Rock-North Little Rock-Conway, AR","34,241",3.6,"21,161","3,763,430,627",868,,741104.0
927,"Lock Haven, PA",,,,,,,38684.0
206,"Logan, UT-ID","4,411",2.6,"4,157","538,761,695",709,,140794.0
928,"Logan, WV",,,,,,,32607.0
929,"Logansport, IN",,,,,,,37955.0
930,"London, KY",,,,,,,128215.0
496,"Long Beach, CA",,,,,,81.40%,
207,"Longview, TX","9,137",4.0,"5,754","1,075,092,298",873,,219417.0
208,"Longview, WA","3,761",6.6,"3,032","494,081,887",969,,108987.0
931,"Los Alamos, NM",,,,,,,19101.0
526,"Los Angeles, CA",,,,,,78.30%,
209,"Los Angeles-Long Beach-Anaheim, CA","904,899",4.6,"620,774","92,059,578,178","1,172",,13291486.0
621,"Los Angeles-Long Beach-Glendale, CA Metro Division",,,,,,,10105518.0
380,"Louisville-Jefferson County, KY-IN",,,"35,626","7,695,434,727",925,,
210,"Louisville/Jefferson County, KY-IN","65,700",4.6,,,,,1297301.0
551,"Louisville/Jefferson, KY",,,,,,76%,
571,"Lowell, MA",,,,,,71.80%,
211,"Lubbock, TX","12,038",3.3,"8,109","1,526,261,215",824,81.70%,319068.0
932,"Ludington, MI",,,,,,,29100.0
933,"Lufkin, TX",,,,,,,87092.0
934,"Lumberton, NC",,,,,,,131831.0
212,"Lynchburg, VA","8,547",3.5,"7,839","1,029,458,433",793,,263353.0
935,"Macomb, IL",,,,,,,29955.0
381,"Macon, GA",,,"5,362","1,039,503,913",814,,
622,"Macon-Bibb County, GA",,,,,,,229737.0
213,"Madera, CA","4,956",7.4,"4,350","550,474,058",842,,157672.0
936,"Madison, IN",,,,,,,32208.0
214,"Madison, WI","43,597",2.6,"19,517","5,002,355,532",993,87.10%,660422.0
937,"Madisonville, KY",,,,,,,45068.0
938,"Magnolia, AR",,,,,,,23537.0
939,"Malone, NY",,,,,,,50293.0
940,"Malvern, AR",,,,,,,33701.0
522,"Manchester, NH",,,,,,78.80%,
382,"Manchester-Nashua, NH",,,"12,172","2,937,815,461","1,112",,415247.0
215,"Manhattan, KS","3,308",3.6,"2,357","364,465,047",728,,97980.0
941,"Manitowoc, WI",,,,,,,79074.0
216,"Mankato-North Mankato, MN","4,714",2.9,"2,823","607,790,855",857,,101647.0
217,"Mansfield, OH","3,914",4.8,"2,758","501,090,146",760,,121099.0
942,"Marietta, OH",,,,,,,60155.0
943,"Marinette, WI-MI",,,,,,,63417.0
944,"Marion, IN",,,,,,,65936.0
945,"Marion, NC",,,,,,,45507.0
946,"Marion, OH",,,,,,,65256.0
947,"Marquette, MI",,,,,,,66516.0
948,"Marshall, MN",,,,,,,25629.0
949,"Marshall, MO",,,,,,,22895.0
950,"Marshall, TX",,,,,,,66726.0
951,"Marshalltown, IA",,,,,,,39981.0
952,"Martin, TN",,,,,,,33415.0
953,"Martinsville, VA",,,,,,,63855.0
954,"Maryville, MO",,,,,,,22304.0
955,"Mason City, IA",,,,,,,50100.0
383,"Mayaguez, PR",,,"1,645","182,449,098",454,,
1195,"Mayagüez, PR",,,,,,,87448.0
956,"Mayfield, KY",,,,,,,37317.0
957,"Maysville, KY",,,,,,,17150.0
958,"McAlester, OK",,,,,,,43877.0
541,"McAllen, TX",,,,,,77.10%,
218,"McAllen-Edinburg-Mission, TX","17,652",6.7,"12,635","2,217,871,483",661,,865939.0
959,"McComb, MS",,,,,,,51889.0
450,"McKinney, TX",,,,,,86.50%,
960,"McMinnville, TN",,,,,,,40878.0
961,"McPherson, KS",,,,,,,28537.0
962,"Meadville, PA",,,,,,,85063.0
219,"Medford, OR","7,412",5.3,"7,686","950,398,625",816,,219564.0
590,"Memphis, TN",,,,,,67.70%,
220,"Memphis, TN-MS-AR","62,059",5.0,"27,702","7,951,328,878",989,,1350620.0
963,"Menomonie, WI",,,,,,,45131.0
221,"Merced, CA","7,590",8.4,"6,704","851,240,632",806,,274765.0
964,"Meridian, MS",,,,,,,100948.0
965,"Merrill, WI",,,,,,,27689.0
529,"Mesa, AZ",,,,,,78.20%,
483,"Mesquite, TX",,,,,,83.30%,
966,"Mexico, MO",,,,,,,25473.0
600,"Miami Gardens, FL",,,,,,63.60%,
601,"Miami, FL",,,,,,63.20%,
967,"Miami, OK",,,,,,,31175.0
222,"Miami-Fort Lauderdale-West Palm Beach, FL","296,486",3.4,"224,951","32,512,862,272",986,,6198782.0
624,"Miami-Miami Beach-Kendall, FL Metro Division",,,,,,,2761581.0
223,"Michigan City-La Porte, IN","3,443",4.3,"2,273","402,146,122",767,,110007.0
968,"Middlesborough, KY",,,,,,,26569.0
224,"Midland, MI","5,408",4.5,"3,263","536,633,959","1,098",,83209.0
225,"Midland, TX","29,825",2.2,"6,055","1,956,514,179","1,393",84%,178331.0
969,"Milledgeville, GA",,,,,,,53171.0
584,"Milwaukee, WI",,,,,,68.80%,
226,"Milwaukee-Waukesha-West Allis, WI","91,962",3.8,"47,154","10,572,313,370",977,,1576113.0
970,"Mineral Wells, TX",,,,,,,28875.0
493,"Minneapolis, MN",,,,,,82%,
227,"Minneapolis-St. Paul-Bloomington, MN-WI","226,152",3.1,"96,991","28,905,397,164","1,152",,3629190.0
971,"Minot, ND",,,,,,,75934.0
425,"Miramar, FL",,,,,,89.50%,
228,"Missoula, MT","4,807",2.5,"5,436","637,306,225",803,,118791.0
972,"Mitchell, SD",,,,,,,23166.0
973,"Moberly, MO",,,,,,,24763.0
229,"Mobile, AL","16,803",3.8,"10,249","1,984,045,486",896,66.50%,413757.0
230,"Modesto, CA","17,954",6.6,"15,984","2,385,784,556",946,74.30%,549815.0
231,"Monroe, LA","6,936",5.7,"5,153","711,330,938",738,,176805.0
232,"Monroe, MI","4,479",5.7,"2,156","479,019,459",906,,150439.0
631,"Montgomery County-Bucks County-Chester County, PA Metro Division",,,,,,,1978845.0
233,"Montgomery, AL","15,179",3.0,"8,854","1,728,356,888",810,76%,373225.0
974,"Montrose, CO",,,,,,,42214.0
975,"Morehead City, NC",,,,,,,69524.0
503,"Moreno Valley, CA",,,,,,80.70%,
976,"Morgan City, LA",,,,,,,49774.0
234,"Morgantown, WV","6,903",3.9,"3,445","801,521,319",970,,140259.0
235,"Morristown, TN","3,828",4.8,"2,102","434,975,301",770,,118581.0
977,"Moscow, ID",,,,,,,40134.0
978,"Moses Lake, WA",,,,,,,97331.0
979,"Moultrie, GA",,,,,,,45592.0
982,"Mount Airy, NC",,,,,,,71948.0
983,"Mount Pleasant, MI",,,,,,,70562.0
984,"Mount Pleasant, TX",,,,,,,33033.0
985,"Mount Sterling, KY",,,,,,,47037.0
986,"Mount Vernon, IL",,,,,,,37820.0
987,"Mount Vernon, OH",,,,,,,61893.0
236,"Mount Vernon-Anacortes, WA","5,244",5.7,"4,118","655,390,010",944,,128206.0
980,"Mountain Home, AR",,,,,,,41619.0
981,"Mountain Home, ID",,,,,,,27259.0
237,"Muncie, IN","3,425",4.3,"2,193","441,449,506",748,,114772.0
492,"Murfreesboro, TN",,,,,,82.10%,
988,"Murray, KY",,,,,,,39135.0
420,"Murrieta, CA",,,,,,89.90%,
989,"Muscatine, IA",,,,,,,42929.0
238,"Muskegon, MI","5,196",5.4,"2,851","658,807,508",790,,173588.0
990,"Muskogee, OK",,,,,,,68362.0
239,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","14,844",3.9,"12,081","1,432,198,595",654,,480891.0
991,"Nacogdoches, TX",,,,,,,65711.0
240,"Napa, CA","9,750",3.0,"5,889","1,087,705,174","1,034",,139417.0
407,"Naperville, IL",,,,,,91.30%,
241,"Naples-Immokalee-Marco Island, FL","15,608",3.5,"14,271","1,614,139,742",882,,378488.0
524,"Nashville-Davidson, TN",,,,,,78.50%,
242,"Nashville-Davidson--Murfreesboro--Franklin, TN","115,716",3.4,"51,613","13,011,795,471","1,038",,1930961.0
627,"Nassau County-Suffolk County, NY Metro Division",,,,,,,2839436.0
992,"Natchez, MS-LA",,,,,,,50764.0
993,"Natchitoches, LA",,,,,,,38659.0
243,"New Bern, NC","4,301",4.6,"2,779","450,760,649",786,,125219.0
995,"New Castle, IN",,,,,,,48271.0
996,"New Castle, PA",,,,,,,86184.0
598,"New Haven, CT",,,,,,64.10%,
384,"New Haven-Milford, CT",,,"24,715","5,053,404,341","1,066",,857620.0
594,"New Orleans, LA",,,,,,66.20%,
244,"New Orleans-Metairie, LA","67,023",4.8,"39,712","6,740,712,266",958,,1270399.0
997,"New Philadelphia-Dover, OH",,,,,,,92176.0
1001,"New Ulm, MN",,,,,,,25111.0
531,"New York, NY",,,,,,78.10%,
629,"New York-Jersey City-White Plains, NY-NJ Metro Division",,,,,,,14242759.0
245,"New York-Newark-Jersey City, NY-NJ-PA","1,444,484",3.9,"634,230","164,246,626,502","1,356",,19979477.0
589,"Newark, NJ",,,,,,67.80%,
628,"Newark, NJ-PA Metro Division",,,,,,,2504672.0
994,"Newberry, SC",,,,,,,38520.0
501,"Newport News, VA",,,,,,80.80%,
998,"Newport, OR",,,,,,,49388.0
999,"Newport, TN",,,,,,,35774.0
1000,"Newton, IA",,,,,,,37147.0
246,"Niles-Benton Harbor, MI","5,952",5.0,"3,457","692,866,590",849,,154141.0
1002,"Nogales, AZ",,,,,,,46511.0
1003,"Norfolk, NE",,,,,,,48504.0
536,"Norfolk, VA",,,,,,77.50%,
452,"Norman, OK",,,,,,86.10%,
585,"North Charleston, SC",,,,,,68.80%,
457,"North Las Vegas, NV",,,,,,85.40%,
1004,"North Platte, NE",,,,,,,36426.0
247,"North Port-Sarasota-Bradenton, FL","27,015",3.3,"27,192","3,153,783,774",841,,821573.0
1005,"North Vernon, IN",,,,,,,27611.0
1006,"North Wilkesboro, NC",,,,,,,68557.0
560,"Norwalk, CA",,,,,,74.60%,
1007,"Norwalk, OH",,,,,,,58504.0
385,"Norwich-New London, CT",,,"7,722","1,661,015,577","1,030",,266784.0
1008,"Oak Harbor, WA",,,,,,,84460.0
514,"Oakland, CA",,,,,,79.80%,
634,"Oakland-Hayward-Berkeley, CA Metro Division",,,,,,,2816968.0
248,"Ocala, FL","7,503",4.1,"8,498","947,816,592",711,,359977.0
249,"Ocean City, NJ","4,481",3.5,"3,868","455,086,320",664,,92560.0
481,"Oceanside, CA",,,,,,83.60%,
250,"Odessa, TX","9,061",2.8,"4,070","1,210,422,270","1,175",78.50%,162124.0
251,"Ogden-Clearfield, UT","22,326",3.0,"16,785","2,779,061,288",820,,675067.0
1009,"Ogdensburg-Massena, NY",,,,,,,108047.0
1010,"Oil City, PA",,,,,,,51266.0
1011,"Okeechobee, FL",,,,,,,41537.0
252,"Oklahoma City, OK","67,714",3.1,"40,779","7,370,985,155",929,78.60%,1396445.0
409,"Olathe, KS",,,,,,91.10%,
1012,"Olean, NY",,,,,,,76840.0
253,"Olympia-Tumwater, WA","10,653",5.3,"8,482","1,522,493,813",995,,286419.0
